# AraGenre 2026 final evaluation leaderboard, 18 participating teams.
rank	participant	date	submission_id	hier_macro_f1	spec_macro_f1	spec_weighted_f1	spec_accuracy	broad_macro_f1	broad_weighted_f1	broad_accuracy
1	Thakaa	2026-08-01 00:18	872515	0.7352	0.5725	0.6125	0.6189	0.8979	0.9142	0.9138
2	phonghoang	2026-07-30 19:28	870633	0.7169	0.5339	0.5813	0.5987	0.9000	0.9123	0.9113
3	NAMAA	2026-07-30 08:49	869837	0.7013	0.5114	0.5276	0.5495	0.8913	0.9106	0.9115
4	manarali123	2026-07-31 23:54	872493	0.6050	0.4297	0.4501	0.4599	0.7803	0.8256	0.8267
5	shahd1ai	2026-07-29 22:05	869186	0.6006	0.4264	0.4548	0.4634	0.7748	0.8312	0.8298
6	phoenix	2026-07-31 13:12	871806	0.5800	0.4109	0.4375	0.4407	0.7492	0.7966	0.7989
7	SAGE	2026-07-31 20:51	872346	0.5278	0.3505	0.3841	0.3963	0.7051	0.7767	0.7802
8	mohannad_hendi	2026-07-28 20:36	867384	0.4560	0.2995	0.3161	0.3196	0.6125	0.7025	0.7060
9	WathiqTeam	2026-08-01 02:58	872670	0.4559	0.2869	0.3080	0.3276	0.6250	0.7186	0.7186
10	rsonbol	2026-07-31 22:49	872433	0.4421	0.2724	0.2968	0.3127	0.6119	0.7148	0.7278
11	RabeeQasem - ImpactAi	2026-07-30 09:50	869899	0.4399	0.2511	0.2648	0.2709	0.6288	0.7163	0.7128
12	qaiss_2025	2026-08-02 11:40	874370	0.3580	0.1714	0.1802	0.2098	0.5447	0.6142	0.6054
13	yousraElghawi	2026-07-27 23:13	865866	0.3555	0.2129	0.2212	0.2403	0.4981	0.6073	0.6016
14	anas_mhiri	2026-07-27 21:31	865781	0.3367	0.1930	0.1884	0.2260	0.4804	0.5658	0.5597
15	monmon2000	2026-07-28 14:23	866912	0.3302	0.2008	0.2038	0.2305	0.4596	0.5585	0.5494
16	GenreMinds	2026-07-28 07:36	866308	0.3286	0.1923	0.1944	0.2171	0.4650	0.5551	0.5480
17	morooj_6	2026-07-30 06:39	869713	0.3152	0.1894	0.1886	0.2001	0.4410	0.4909	0.4737
18	AraGenre	2026-07-27 07:29	864783	0.2472	0.1358	0.1467	0.1597	0.3585	0.4527	0.4450
